Continent;;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AF;AS;AS;AS;AS;AS;AS;AS;AS;;AS;AS;;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;AS;;AS;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;EU;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;AM;OC;;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;OC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Buggery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sierra Leone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Antigua and Barbuda;;;Barbados;;;;;;;;Dominica;;;;;;Guyana;;;Jamaica;;;;;;St Kitts & Nevis;St Lucia;St Vincent & the Grenadines;;Trinidad and Tobago;;;;;;;;Kiribati;;;;;;;;Solomon Islands;;Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indecency/other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;South Sumatra and Aceh Provinces (Indonesia);Iraq;Iran;;;;;;;;;;;;;;;;;;;;Singapore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Promotion/Morality;Penal code;;;;;;;;;;;;;;;;Egypt;;;;;;;;;;;;;;;;;;;;;;Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lithuania ;;;;;;;;;;;;Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Morality code;Algeria;;;;;;;;;;;;;;;Egypt;;;;;;;;;;;;Libya;;;;;;Morocco;;;;Nigeria (north);;;;;;Somalia;;;;;Tanzania;;Tunisia;;;;;;;;;;;;;;Indonesia;;Iraq;Iran;;;Jordan ;;Kuwait;;;Lebanon;;;;;;;;;;Qatar;Saudi Arabia;;;;Syria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ma.x Sentences (M)onths and (Y)ears;1 M - 2 Y;;;;;;Burundi;;;;;;;;;;;;;;;;;;;;;Liberia;;;;;Mauritania;;;;;;;;;;;;;;;;;;;;;;Zimbabwe;;;;Bhutan;;;;;;;;;Iraq;;;;;;;;;Lebanon;;;;;;;;;;;;Singapore;;;;;;;Turkmenistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lithuania ;;;;;;;;;;;;Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3 Y - 7 Y;Algeria;Angola;;Botswana;;;Cameroon;;;;Comoros;;;;;Egypt;;;;;;Ghana;Guinea;;;;;Libya;;;;;Mauritius;Morocco;;;;;;;Senegal;;;Somalia;;;;;;Togo;Tunisia;;;;;;;;;;;;;;;;;;;;;;Kuwait;;;;;;;;;;;;;Qatar;;;;;Syria;;;;;;;Uzbekistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;St Kitts & Nevis;;;;;;;;;;;;;;;;;;;Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8 Y - 13 Y;;;;;;;;;;;;;;;;;;;;;Gambia;;;;Kenya;;;;;Malawi;;;;;;;;Nigeria;;;;;Sierra Leone;;;South Sudan;Sudan;Swaziland;;;;;;;Afghanistan;;Bangladesh;;Brunei Darussalam;;;;Gaza (in the Occupied Palestinian Territory);;;;;;;;;;;;;;Malaysia;;;Myanmar;;;;Pakistan;;;;;;Sri Lanka;;;;;;;United Arab Emirates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dominica;;;;Grenada;;;;;Jamaica;;;;;;;;St Vincent & the Grenadines;;;;;;;;Cook Islands (associates to New Zealand);;Kiribati;;;;;;Papua New Guinea;;Solomon Islands;Tonga;Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14-Y - Life;;;;;;;;;;;;;;;;;;Eritrea;Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tanzania;;;Uganda;Zambia;;;;;;;;;;;India;;South Sumatra and Aceh Provinces (Indonesia);;;;;;;;;;;;Maldives;;;;;Oman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Antigua and Barbuda;;;Barbados;;;;;;;;;;;;;;Guyana;;;;;;;;;;St Lucia;;;Trinidad and Tobago;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Death;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mauritania;;;;;;Nigeria;;;;;;Somalia;;;Sudan;;;;;;;;Afghanistan;;;;;;;;;;;;Iraq;Iran;;;;;;;;;;;;;;;;Pakistan;;Qatar;Saudi Arabia;;;;Syria;;;;;;United Arab Emirates;;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Orange text = NOT IMPLEMENTED;Grey text = PARTS of that country implement death;Blue text = non-State actors implement death;White out text = death penalty implemented country-wide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrests in past 3 years?;Yes ;;;;;;;Cameroon;;;;;;;;;Egypt;;;;;Gambia;;Guinea;;Kenya;;;Libya;;Malawi;;Mauritania;;Morocco;;;;Nigeria;;;Senegal;;;Somalia;;;;Swaziland;Tanzania;;Tunisia;Uganda;Zambia;Zimbabwe;Afghanistan;;Bangladesh;;Brunei Darussalam;;;;Gaza (in the Occupied Palestinian Territory);India;;;Iraq;Iran;;;;;Kuwait;;;Lebanon;Malaysia;Maldives;;Myanmar;;;Oman;Pakistan;;Qatar;Saudi Arabia;;;;Syria;;;;Turkmenistan;;United Arab Emirates;Uzbekistan;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Papua New Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ban on NGOs;Yes;Algeria;;;;;;;;;;;;;;;Egypt;;;;;;;;;;;;Libya;;Malawi;;Mauritania;;Morocco;Mozambique;;;Nigeria;;;;;;;;;Sudan;;Tanzania;;;Uganda;;;;Bahrain;Bangladesh;;;;China;;;;;;;;;;Jordan ;Kazakhstan ;Kuwait;;;;;;;;;North Korea;Oman;;;Qatar;Saudi Arabia;;;;Syria;;;;;;United Arab Emirates;;;Yemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NRHI - SO-inclusive? ;Yes;;Angola;;Botswana;;;;;;;;;;;;;;;;;;;;;Kenya;;Liberia;;;Malawi;;;Mauritius;;Mozambique;Namibia;;;Rwanda;;;Seychelles;;;South Africa ;;;;;;;Uganda;Zambia;Zimbabwe;;;Bangladesh;;;;;;;India;Indonesia (most);;;;;;;Kazakhstan ;;Kyrgyzstan ;;;;;Mongolia ;Myanmar;Nepal ;;;Pakistan;Philippines;;;;South Korea;Sri Lanka;;Taiwan;;Thailand ;;;;;;;Albania ;;;Austria ;;;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;Greece ;Hungary ;;Ireland;Italy ;Kosovo ;Latvia ;;Lithuania ;Luxembourg ;;Malta ;Moldova ;;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;;;Serbia ;Slovakia ;Slovenia ;;Sweden ;;;;United Kingdom (and associates);;Argentina ;;;;Bolivia;Brazil;Costa Rica ;Chile ;Colombia ;;;;Ecuador ;;;Guatemala ;;Haiti ;Honduras ;;Mexico ;Nicaragua ;Panama ;;Peru ;;;;;Trinidad and Tobago;Uruguay ;Venezuela;Canada;;Australia;;Fiji ;;;;New Zealand ;;;;Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;No ;Algeria;;Benin;;Burkina Faso;Burundi;Cameroon;Cape Verde ;;;;Congo;;Democratic Republic of Congo;Djibouti;Egypt;Equatorial Guinea;;;Gabon;;Ghana;Guinea;Guinea-Bissau;;;;Libya;Madagascar;;Mali;Mauritania;;Morocco;;;Niger;Nigeria;;;Senegal;;Sierra Leone;Somalia;;South Sudan;Sudan;;Tanzania;Togo;Tunisia;;;;;Bahrain;;Bhutan;Brunei Darussalam;;;;Gaza (in the Occupied Palestinian Territory);;;;Iraq;;;;Jordan ;;;;;;;Maldives;;;;;Oman;;;Qatar;Saudi Arabia;;;;Syria;;Tajikistan ;;Turkmenistan;;United Arab Emirates;Uzbekistan;;Yemen;;;Armenia ;;Azerbaijan ;Belarus ;;;;;;;;;;;;;;;;;;;;;;;Macedonia (FYROM) ;;;Monaco ;;;;;;;Russia;;;;;Spain;;;Turkey ;Ukraine ;;Antigua and Barbuda;;;Barbados;Belize;;;;;;;;;;El Salvador ;Grenada;;Guyana;;;Jamaica;;;;;;;St Lucia;St Vincent & the Grenadines;;;;;;United States;;;;;;;;;;Papua New Guinea;;Solomon Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unclear;;;;;;;;;;Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Swaziland;;;;;;;Afghanistan;;;;;;;East Timor ;;;;;;;;;;;;;;;Malaysia;;;;;;;;;;;;;;;;;;;;;;West Bank in the Occupied Palestinian Territory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dominican Republic ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;None;;;;;;;;;Central African Republic;;Comoros;;Côte d'Ivoire;;;;;Eritrea;Ethiopia;;Gambia;;;;;Lesotho;;;;;;;;;;;;;;São Tome & Principe;;;;;;;;;;;;;;;;;;;;Cambodia;China;;;;;;;Iran;Israel ;Japan ;;;Kuwait;;Laos;Lebanon;;;;;;North Korea;;;;;;Singapore;;;;;;;;Vietnam;;;;;;Andorra ;;;;;;;;;;;;;;;;;;;Iceland ;;;;;Liechtenstein ;;;;;;;;;;;;;;San Marino ;;;;;;Switzerland ;;;;;;;;;;;;;;Cuba;Dominica;;;;;;;;;;;;;Paraguay;;St Kitts & Nevis;;;Suriname ;;;;;;;Cook Islands (associates to New Zealand);;Kiribati;Marshall Islands;Micronesia;;Nauru;Palau ;;;;Tonga;Tuvalu;Vanuatu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Protection;Const-itution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;South Africa ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nepal ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kosovo ;;;;;;Malta ;;;;;;;Portugal ;;;;;;;;Sweden ;;;;;;;;;;Bolivia;Brazil;;;;;;;Ecuador ;;;;;;;;Mexico ;;;;;;;;;;;;;;;;Fiji ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Employ-ment;;;;Botswana;;;;Cape Verde ;;;;;;;;;;;;;;;;;;;;;;;;;Mauritius;;Mozambique;;;;;;;Seychelles;;;South Africa ;;;;;;;;;;;;;;;;;;;;;;;;Israel ;;;;;;;;;;;;;;;;;;;;South Korea;;;Taiwan;;Thailand ;;;;;;;Albania ;Andorra ;;Austria ;;;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;Greece ;Hungary ;Iceland ;Ireland;Italy ;Kosovo ;Latvia ;;Lithuania ;Luxembourg ;;Malta ;Moldova ;;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;;San Marino ;Serbia ;Slovakia ;Slovenia ;Spain;Sweden ;Switzerland ;;Ukraine ;United Kingdom (and associates);;;;;;Bolivia;Brazil;Costa Rica ;Chile ;Colombia ;Cuba;;;Ecuador ;El Salvador ;;;;;Honduras ;;Mexico ;Nicaragua ;;;Peru ;;St Lucia;;Suriname ;;Uruguay ;Venezuela;Canada;;Australia;;Fiji ;Kiribati;;;New Zealand ;;;;Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
